name,artists,id_artists,release_year,popularity,duration_minutes,key,mode,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Wunderland Bei Nacht,Walter Scholz,1aA5IpWFjCvbjMku2Cb14R,1992,24,2.483333333,Si(b),1,0,0.23,0.249,-11.322,0.0291,0.836,0.926,0.181,0.172,169.526
紅彩妹妹 (國語),Ivy姐姐,47PyA3Gl8nOaOAzcs5PeRz,1992,3,2.078666667,Si(b),0,0,0.696,0.328,-14.37,0.0336,0.285,2.32E-06,0.214,0.502,121.072
Si,Anthony Ventura,02UJNg1LEJ1vQSNm3Mo0R9,1992,20,3.86445,Mi(b),1,0,0.264,0.316,-17.199,0.0277,0.701,0.909,0.192,0.0927,144.802
Echo Der Liebe,Walter Scholz,1aA5IpWFjCvbjMku2Cb14R,1992,23,3.333333333,La(b),1,0,0.115,0.376,-11.941,0.0315,0.867,0.854,0.0786,0.234,168.142
Lady in Red,Anthony Ventura,02UJNg1LEJ1vQSNm3Mo0R9,1992,7,4.23955,Si(b),1,0,0.475,0.544,-11.799,0.0283,0.204,0.172,0.169,0.743,73.988
Wenn der letzte Regen fällt,Peter Maffay,5W3s4beu23rOlseCbVOp4l,1992,11,5.181116667,La,0,0,0.683,0.55,-11.512,0.0572,0.0719,0.0445,0.081,0.731,77.031
As Time Goes By,Henry Mancini & Phil Todd & David Wilson,2EExdpjU4SK3xnJHO5paJf,1992,30,3.604883333,Mi(b),1,0,0.383,0.161,-19.492,0.0316,0.952,0.908,0.126,0.125,78.92
Pipoca,Sérgio Mendes,65c5si0ePAwkOCn4M35Ho7,1992,24,3.15,Re,1,0,0.692,0.705,-9.006,0.061,0.364,0.37,0.0766,0.858,172.894
Almost An Angel,Fattburger,57EAEbnYbr1PFzadw9Zvgi,1992,16,6.411783333,Mi(b),0,0,0.634,0.59,-12.107,0.0442,0.669,0.851,0.0936,0.814,147.02
Prince Ali (Reprise),Peer Augustinski,2nWCk0JmgDMW52x6GAhWZO,1992,25,1.19555,Fa,0,0,0.547,0.448,-13.497,0.0738,0.751,0,0.644,0.641,59.111
No Hero,The Offspring,5LfGQac0EIXyAN8aUwmNAQ,1992,34,3.36955,Si,0,0,0.551,0.8,-7.926,0.0511,0.00106,4.25E-05,0.255,0.707,123.098
"Sunrise, Sunset (From the Broadway Musical ""Fiddler On The Roof"") - Remastered",Perry Como,5v8jlSmAQfrkTjAlpUfWtu,1993,30,3.672216667,Si(b),0,0,0.155,0.186,-15.567,0.0317,0.943,0.00156,0.169,0.115,83.97
Gdje su Mekka i Medina,Hafiz Aziz Alili,4tZ5sLu8rfbvTh6vknIQ0L,1993,19,5.7674,Re(b),0,0,0.673,0.292,-10.576,0.0268,0.31,1.92E-06,0.107,0.593,104.798
Everybody Laughed But You,Sting,0Ty63ceoRnnJKVEYP0VQpk,1993,37,3.911333333,Sol,0,0,0.675,0.62,-9.696,0.0286,0.486,0.00887,0.0385,0.499,113.44
